order_item_id,order_id,product_id,quantity,sales_amount,profit
1,CA-2016-152156,FUR-BO-10001798,2,261.96,41.9136
2,CA-2016-138688,FUR-CH-10000454,3,731.94,219.582
3,US-2015-108966,OFF-LA-10000240,2,14.62,6.8714
4,CA-2014-115812,FUR-TA-10000577,5,957.5775,-383.031
5,CA-2017-114412,OFF-ST-10000760,2,22.368,2.5164
6,CA-2016-161389,FUR-FU-10001487,7,48.86,14.1694
7,US-2015-118983,OFF-AR-10002833,4,7.28,1.9656
8,CA-2014-105893,TEC-PH-10002275,6,907.152,90.7152
9,CA-2014-167164,OFF-BI-10003910,3,18.504,5.7825
10,CA-2014-143336,OFF-AP-10002892,5,114.9,34.47
11,CA-2016-137330,FUR-TA-10001539,9,1706.184,85.3092
12,US-2017-156909,TEC-PH-10002033,4,911.424,68.3568
13,CA-2015-106320,OFF-PA-10002365,3,15.552,5.4432
14,CA-2016-121755,OFF-BI-10003656,3,407.976,132.5922
15,US-2015-150630,OFF-AP-10002311,5,68.81,-123.858
16,CA-2017-107727,OFF-BI-10000756,3,2.544,-3.816
17,CA-2016-117590,OFF-ST-10004186,6,665.88,13.3176
18,CA-2015-117415,OFF-ST-10000107,2,55.5,9.99
19,CA-2017-120999,OFF-AR-10003056,2,8.56,2.4824
20,CA-2016-101343,TEC-PH-10001949,3,213.48,16.011
21,CA-2017-139619,OFF-BI-10002215,4,22.72,7.384
22,CA-2016-118255,OFF-AR-10000246,7,19.46,5.0596
